time/total_timesteps,train/n_updates,train/entropy_loss,train/value_loss,time/fps,rollout/ep_rew_mean,train/explained_variance,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/learning_rate,train/policy_loss
1000,118599,-0.11293093115091324,1.1547852409421466e-05,1310,276.3333333333333,0.9750851988792419,0,200,276.3333333333333,0.001,-4.1588744352338836e-05
500,118699,-0.17434489727020264,5.750579475716222e-06,1302,250.0,0.9980359673500061,0,100,250.0,0.001,0.002367907902225852
1000,118799,-0.14353251457214355,8.36520193843171e-05,1321,261.3333333333333,0.746701717376709,0,200,261.3333333333333,0.001,-0.00036413216730579734
500,118899,-0.25040262937545776,1.5586172594339587e-05,1296,275.0,0.9847567081451416,0,100,275.0,0.001,0.0013443233910948038
1000,118999,-0.2670726776123047,2.8431973987608217e-05,1283,280.3333333333333,0.9686741828918457,0,200,280.3333333333333,0.001,0.0005375196924433112
500,119099,-0.17316336929798126,7.585788989672437e-05,1275,289.0,0.960572361946106,0,100,289.0,0.001,0.0028691894840449095
1000,119199,-0.15568891167640686,5.9677171520888805e-05,1256,317.3333333333333,-0.5182853937149048,0,200,317.3333333333333,0.001,0.006833682768046856
500,119299,-0.13321766257286072,6.192934051796328e-06,1272,417.0,0.11822211742401123,0,100,417.0,0.001,-9.691423201729776e-07
1000,119399,-0.3729270100593567,0.0001863163779489696,1255,395.5,0.9843324422836304,0,200,395.5,0.001,0.0025453914422541857
500,119499,-0.3142646551132202,3.8402224163291976e-05,1245,268.0,0.9945895671844482,0,100,268.0,0.001,0.0009002239676192403
1000,119599,-0.264362096786499,2.124741513398476e-05,1257,246.33333333333334,0.9673072695732117,0,200,246.33333333333334,0.001,-0.0017235868144780397
500,119699,-0.17009414732456207,0.00011938164243474603,1245,229.5,0.2691757082939148,0,100,229.5,0.001,0.0006431112997233868
1000,119799,-0.33899274468421936,4.971361340722069e-05,1256,223.75,0.9510910511016846,0,200,223.75,0.001,0.0012522132601588964
