time/total_timesteps,train/n_updates,train/entropy_loss,train/value_loss,time/fps,rollout/ep_rew_mean,train/explained_variance,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/learning_rate,train/policy_loss
500,298499,-0.20318660140037537,0.22925257682800293,1263,,0.8066759705543518,0,100,,0.001,-0.16018244624137878
1000,298599,-0.0015504295006394386,0.07124143838882446,1265,-22.440963,0.6765768527984619,0,200,1000.0,0.001,-2.527800461393781e-05
500,298699,-0.16409189999103546,2.4682507514953613,1258,,-0.2821842432022095,0,100,,0.001,0.15404516458511353
1000,298799,-0.29702186584472656,0.6661764979362488,1239,-83.128506,0.9921907186508179,0,200,1000.0,0.001,-0.2760540843009949
500,298899,-0.1725996434688568,0.3050847053527832,1195,-54.272867,0.9391327500343323,0,100,266.0,0.001,0.018919028341770172
1000,298999,-0.23827235400676727,0.17403656244277954,1230,72.8486855,0.8667184710502625,0,200,309.5,0.001,-0.019971473142504692
500,299099,-0.2516072690486908,0.032062601298093796,1214,,0.9589533805847168,0,100,,0.001,0.008904807269573212
1000,299199,-0.20418493449687958,0.8345176577568054,1277,-39.86221,0.6736050248146057,0,200,1000.0,0.001,-0.12925803661346436
500,299299,-0.15382026135921478,0.06788760423660278,1223,,0.34622591733932495,0,100,,0.001,-0.01196032389998436
1000,299399,-0.16698642075061798,0.2094680815935135,1253,-74.494923,-1.7364428043365479,0,200,1000.0,0.001,0.006298540625721216
500,299499,-0.28176385164260864,0.09110360592603683,1193,,0.9497775435447693,0,100,,0.001,-0.04279087111353874
1000,299599,-0.2584340572357178,0.502570629119873,1227,-37.21044,0.29657208919525146,0,200,1000.0,0.001,0.05004623532295227
500,299699,-0.018025673925876617,1.1966694593429565,1225,,0.6733951568603516,0,100,,0.001,-0.002491433173418045
1000,299799,-0.43600279092788696,0.07744372636079788,1251,-106.338665,0.4313337206840515,0,200,1000.0,0.001,0.06240935996174812
500,299899,-0.08715841919183731,0.9644694328308105,1230,,0.48845374584198,0,100,,0.001,0.006195868831127882
1000,299999,-0.035232048481702805,1.8539409637451172,1249,-117.337109,0.6234836578369141,0,200,1000.0,0.001,-0.010414059273898602
500,300099,-0.23518157005310059,0.15691597759723663,1202,,0.8587963581085205,0,100,,0.001,-0.0027244449593126774
1000,300199,-0.12944045662879944,0.8330304026603699,1262,-109.181814,0.5335942506790161,0,200,1000.0,0.001,0.07495183497667313
500,300299,-0.37761735916137695,0.38950449228286743,1231,-42.459566,0.7978203296661377,0,100,284.0,0.001,0.03346700221300125
1000,300399,-0.23692989349365234,0.5902979969978333,1231,31.748343000000002,-1.40803861618042,0,200,281.3333333333333,0.001,-0.1393829882144928
500,300499,-0.22489897906780243,2.1836202144622803,1269,-112.27462,0.5619171857833862,0,100,405.0,0.001,-0.040102820843458176
1000,300599,-0.004966198466718197,4.882185935974121,1257,-112.27462,0.6570593118667603,0,200,405.0,0.001,0.0012090553063899279
500,300699,-0.26433780789375305,0.055837273597717285,1258,-15.719925,0.9963505864143372,0,100,251.0,0.001,-0.013765385374426842
1000,300799,-0.21294911205768585,3.544215679168701,1239,-15.719925,-0.44766664505004883,0,200,251.0,0.001,0.16209596395492554
500,300899,-0.5369316935539246,3.026914596557617,1209,,0.5328351259231567,0,100,,0.001,0.6206614375114441
1000,300999,-0.0013513477751985192,0.02592627704143524,1236,-48.418751,0.9457376003265381,0,200,1000.0,0.001,-6.958737685636152e-06
500,301099,-0.010092176496982574,0.19506824016571045,1242,,0.8479903340339661,0,100,,0.001,-0.00032842339714989066
1000,301199,-0.12255352735519409,0.24485132098197937,1247,-106.636274,0.8315181732177734,0,200,1000.0,0.001,-0.01786487177014351
500,301299,-0.21345563232898712,0.5469893217086792,1253,,0.9685359001159668,0,100,,0.001,0.3232348561286926
1000,301399,-0.04583396017551422,0.7463517189025879,1267,-40.682471,0.8231291770935059,0,200,1000.0,0.001,-0.0031172747258096933
500,301499,-0.17196275293827057,0.1433156579732895,1255,124.821264,0.9854324460029602,0,100,473.0,0.001,0.012736554257571697
1000,301599,-0.39659053087234497,0.7683752775192261,1269,123.066423,0.8239317536354065,0,200,434.5,0.001,-0.09068953990936279
